,index,name,year,year_prod,cum,investmentMillNOK,recoverable_oil,remaining_oil,oil_price_nom,oil_price_real,oil_price_real_l1,oil_price_real_l2,oil_price_real_l3,oil_price_real_l4,oil_price_real_l5,oil_price_real_l6,oil_price_real_l7,oil_price_real_l8,diff_oil_price,pos_price_diff,neg_price_diff,diff_oil_price_3yr,pos_diff_3yr,neg_diff_3yr,deflator,bond_index,init_year,tot.prod,producing_from,producing_to,approved_at,shutdown,investmentMillNOK_real,maxyear,producing_time,time_to_peak
80,89,ÅSGARD,2010,5.02621,73.86256,1461.0,102.4,17.5,79.49553359999999,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,3.5974763301854997,3.19354607679,1.7702299597529998,17.702299597529997,1e-07,3.54398777579,3.54398777579,1e-06,0.99972375346,2064.45,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,1461.4037077178,2001,11,2
81,90,ÅSGARD,2011,3.9323900000000003,77.79495,5281.0,102.4,17.5,111.26416666666701,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,6.409480298342499,4.650828168342999,-0.229381023912333,1e-07,2.29381023912333,45.26458444778971,45.26458444778971,1e-06,1.03495856434,2219.45,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,5102.61973953298,2001,12,2
82,92,ÅSGARD,2012,4.0008,81.79575,5776.0,102.4,17.5,111.651666666667,11.1651666666667,11.166970238095,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,-0.00180357142833287,1e-07,0.0180357142833287,-1.9063102391233302,1e-06,1.9063102391233302,1.0452581614799998,2449.56,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,5525.90758231599,2001,13,2
83,94,ÅSGARD,2013,3.16569,84.96144,6599.0,102.4,17.5,108.6375,10.86375,11.1651666666667,11.166970238095,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,-0.301416666666667,1e-07,3.0141666666666698,-2.62666666666667,1e-06,2.62666666666667,1.06095752096,2413.9,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,6219.85317002036,2001,14,2
84,95,ÅSGARD,2014,2.78693,87.74837,,102.4,17.5,,,,,,,,,,,,,,,,,1.08005677216,2424.99,1999,95.68156,1999-05-19 00:00:00,,1996-06-14,,,2001,15,2
86,98,ATLA,2012,0.03841,0.03841,1079.0,0.3,0.2,111.651666666667,11.1651666666667,11.166970238095,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,7.418991014694899,-0.00180357142833287,1e-07,0.0180357142833287,-1.9063102391233302,1e-06,1.9063102391233302,1.0452581614799998,2449.56,2012,0.18159,2012-10-07 00:00:00,,2011-11-04,,1032.28086587932,2013,0,1
87,100,ATLA,2013,0.07203,0.11044000000000001,0.0,0.3,0.2,108.6375,10.86375,11.1651666666667,11.166970238095,11.126416666666701,11.355797690579,8.370188181640701,6.599958221887699,10.371145696549998,8.0157894040617,-0.301416666666667,1e-07,3.0141666666666698,-2.62666666666667,1e-06,2.62666666666667,1.06095752096,2413.9,2012,0.18159,2012-10-07 00:00:00,,2011-11-04,,0.0,2013,1,1
88,101,ATLA,2014,0.03274,0.14318,,0.3,0.2,,,,,,,,,,,,,,,,,1.08005677216,2424.99,2012,0.18159,2012-10-07 00:00:00,,2011-11-04,,,2013,2,1
90,103,BALDER,1991,0.12855999999999998,0.12855999999999998,0.0,68.9,11.1,20.003385199999997,3.3719950232076004,4.1677934093024,3.3746824653227003,2.8963858928739,3.7258577781722004,3.0228480109489,5.8806790334572,6.3596875072185,6.811749698795201,-0.7957983860947999,1e-07,7.957983860948,4.756091303337,4.756091303337,1e-06,0.62105428404,568.73,1991,64.23189,1999-10-02 00:00:00,,1996-02-02,,0.0,2005,0,14
98,111,BALDER,1999,0.88121,1.00977,1548.0,68.9,11.1,17.970077800000002,2.4764838189755,1.7910672309393,2.7311797722586,3.0244492834351,2.5636007605261004,2.4504457935416997,2.6965988806331,3.1617592005277,3.3719950232076004,0.6854165880362,6.854165880362,1e-07,-5.479654644596,1e-06,5.479654644596,0.7072081202399999,997.97,1991,64.23189,1999-10-02 00:00:00,,1996-02-02,,2188.8888938021105,2005,8,14
