"","name","year","year_prod","cum","investmentMillNOK","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"21","ALBUSKJELL",2009,NA,NA,0,7.4,0,61.6712648,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,-37.711874746623,1e-07,37.711874746623,-8.19032792807201,1e-06,8.19032792807201,0.98334873526,1885,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"47","ALBUSKJELL",2010,NA,NA,0,7.4,0,79.4955336,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,17.70229959753,17.70229959753,1e-07,3.54398777579,3.54398777579,1e-06,0.99972375346,2064.45,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"31","ALBUSKJELL",2011,NA,NA,0,7.4,0,111.255598,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,29.856095089383,29.856095089383,1e-07,9.84651994028999,9.84651994028999,1e-06,1.03495856434,2219.45,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"38","ALBUSKJELL",2011,NA,NA,0,7.4,0,111.264166666667,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,-2.29381023912333,1e-07,2.29381023912333,45.2645844477897,45.2645844477897,1e-06,1.03495856434,2219.45,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"17","ALBUSKJELL",2012,NA,NA,0,7.4,0,111.651666666667,111.651666666667,111.66970238095,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,-0.0180357142833287,1e-07,0.0180357142833287,-1.90631023912333,1e-06,1.90631023912333,1.04525816148,2449.56,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"18","ALBUSKJELL",2012,NA,NA,0,7.4,0,111.66970238095,111.66970238095,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,0.405535714283332,0.405535714283332,1e-07,27.967820564543,27.967820564543,1e-06,1.04525816148,2449.56,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"28","ALBUSKJELL",2013,NA,NA,0,7.4,0,108.6375,108.6375,111.651666666667,111.66970238095,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,-3.01416666666667,1e-07,3.01416666666667,-2.62666666666667,1e-06,2.62666666666667,1.06095752096,2413.9,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"56","ALVE",2006,NA,NA,46,1.7,0.5,65.1440625,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,17.910672309393,10.095107163524,10.095107163524,1e-07,38.215146845094,38.215146845094,1e-06,0.8528632903,1614.19,2006,1.93127,2009-03-19,NA,2007-03-16,NA,53.9359596352414
"59","ALVE",2007,NA,NA,712,1.7,0.5,72.3890784,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,5.96798389366799,5.96798389366799,1e-07,33.649612357187,33.649612357187,1e-06,0.90803283064,1689.14,2006,1.93127,2009-03-19,NA,2007-03-16,NA,784.11261793053
"58","ALVE",2008,NA,NA,1636,1.7,0.5,97.2559728,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,23.553562924883,23.553562924883,1e-07,39.616653982075,39.616653982075,1e-06,0.95725840904,1573.98,2006,1.93127,2009-03-19,NA,2007-03-16,NA,1709.04740512093
"61","ALVE",2009,0.25876,0.25876,674,1.7,0.5,61.6712648,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,-37.711874746623,1e-07,37.711874746623,-8.19032792807201,1e-06,8.19032792807201,0.98334873526,1885,2006,1.93127,2009-03-19,NA,2007-03-16,NA,685.412993206111
"54","ALVE",2010,0.24373,0.50249,427,1.7,0.5,79.4955336,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,17.70229959753,17.70229959753,1e-07,3.54398777579,3.54398777579,1e-06,0.99972375346,2064.45,2006,1.93127,2009-03-19,NA,2007-03-16,NA,427.117989866872
"53","ALVE",2011,0.31848,0.82097,369,1.7,0.5,111.264166666667,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,-2.29381023912333,1e-07,2.29381023912333,45.2645844477897,45.2645844477897,1e-06,1.03495856434,2219.45,2006,1.93127,2009-03-19,NA,2007-03-16,NA,356.536012855079
"55","ALVE",2011,0.31848,0.82097,369,1.7,0.5,111.255598,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,29.856095089383,29.856095089383,1e-07,9.84651994028999,9.84651994028999,1e-06,1.03495856434,2219.45,2006,1.93127,2009-03-19,NA,2007-03-16,NA,356.536012855079
"52","ALVE",2012,0.24346,1.06443,32,1.7,0.5,111.651666666667,111.651666666667,111.66970238095,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,-0.0180357142833287,1e-07,0.0180357142833287,-1.90631023912333,1e-06,1.90631023912333,1.04525816148,2449.56,2006,1.93127,2009-03-19,NA,2007-03-16,NA,30.6144464394237
"60","ALVE",2012,0.24346,1.06443,32,1.7,0.5,111.66970238095,111.66970238095,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,0.405535714283332,0.405535714283332,1e-07,27.967820564543,27.967820564543,1e-06,1.04525816148,2449.56,2006,1.93127,2009-03-19,NA,2007-03-16,NA,30.6144464394237
"57","ALVE",2013,0.13579,1.20022,6,1.7,0.5,108.6375,108.6375,111.651666666667,111.66970238095,111.264166666667,113.55797690579,83.701881816407,65.999582218877,103.7114569655,80.157894040617,-3.01416666666667,1e-07,3.01416666666667,-2.62666666666667,1e-06,2.62666666666667,1.06095752096,2413.9,2006,1.93127,2009-03-19,NA,2007-03-16,NA,5.65526883165967
"62","ALVE",2014,0.16911,1.36933,NA,1.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08005677216,2424.99,2006,1.93127,2009-03-19,NA,2007-03-16,NA,NA
"75","ALVHEIM",2004,NA,NA,485,41.2,18,38.265,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,17.910672309393,27.311797722586,30.244492834351,10.533518381575,10.533518381575,1e-07,14.819005945353,14.819005945353,1e-06,0.78327904719,1516.6,2004,33.96192,2008-06-08,NA,2004-10-06,NA,619.191847068971
"72","ALVHEIM",2005,NA,NA,3253,41.2,18,54.5210895,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,17.910672309393,27.311797722586,17.586521299995,17.586521299995,1e-07,32.159342215525,32.159342215525,1e-06,0.81315690914,1546.51,2004,33.96192,2008-06-08,NA,2004-10-06,NA,4000.45792323205
"67","ALVHEIM",2006,NA,NA,3840,41.2,18,65.1440625,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,17.910672309393,10.095107163524,10.095107163524,1e-07,38.215146845094,38.215146845094,1e-06,0.8528632903,1614.19,2004,33.96192,2008-06-08,NA,2004-10-06,NA,4502.48010868102
"65","ALVHEIM",2007,NA,NA,4339,41.2,18,72.3890784,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,24.764838189755,5.96798389366799,5.96798389366799,1e-07,33.649612357187,33.649612357187,1e-06,0.90803283064,1689.14,2004,33.96192,2008-06-08,NA,2004-10-06,NA,4778.46158595586
"69","ALVHEIM",2008,2.29976,2.29976,2684,41.2,18,97.2559728,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,37.992939393872,23.553562924883,23.553562924883,1e-07,39.616653982075,39.616653982075,1e-06,0.95725840904,1573.98,2004,33.96192,2008-06-08,NA,2004-10-06,NA,2803.84060840133
"70","ALVHEIM",2009,4.97328,7.27304,433,41.2,18,61.6712648,65.999582218877,103.7114569655,80.157894040617,74.189910146949,64.094802983425,46.50828168343,35.974763301855,31.9354607679,31.689275738077,-37.711874746623,1e-07,37.711874746623,-8.19032792807201,1e-06,8.19032792807201,0.98334873526,1885,2004,33.96192,2008-06-08,NA,2004-10-06,NA,440.332086139831
