"","name","year","year_prod","cum","investmentMillNOK","lon","lat","recoverable_oil","remaining_oil","oil_price_nom","oil_price_real","oil_price_real_l1","oil_price_real_l2","oil_price_real_l3","oil_price_real_l4","oil_price_real_l5","oil_price_real_l6","oil_price_real_l7","oil_price_real_l8","diff_oil_price","pos_price_diff","neg_price_diff","diff_oil_price_3yr","pos_diff_3yr","neg_diff_3yr","deflator","bond_index","init_year","tot.prod","producing_from","producing_to","approved_at","shutdown","investmentMillNOK_real"
"45","ALBUSKJELL",2009,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,61.6712648,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,-35.816704965067,1e-07,35.816704965067,-7.778731790394,1e-06,7.778731790394,0.98334873526,1885,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"37","ALBUSKJELL",2010,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,79.4955336,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,16.812689534739,16.812689534739,1e-07,3.36588847460101,3.36588847460101,1e-06,0.99972375346,2064.45,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"28","ALBUSKJELL",2011,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,111.264166666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,31.7686330666667,31.7686330666667,1e-07,12.7646176363387,12.7646176363387,1e-06,1.03495856434,2219.45,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"40","ALBUSKJELL",2012,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,111.651666666667,111.651666666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,0.387500000000003,0.387500000000003,1e-07,48.9688226014057,48.9688226014057,1e-06,1.04525816148,2449.56,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"41","ALBUSKJELL",2013,NA,NA,0,2.99301856064265,56.6307886616647,7.4,0,108.6375,108.6375,111.651666666667,111.264166666667,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,-3.01416666666667,1e-07,3.01416666666667,29.1419664,29.1419664,1e-06,1.06095752096,2413.9,1974,7.35406,1979-05-26,1998-08-26,1975-04-25,1998-08-26,0
"54","ALVE",2006,NA,NA,46,7.8279060316489,65.9692400257618,1.9,0.8,65.1440625,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,17.010590699656,9.587788390156,9.587788390156,1e-07,36.294685664494,36.294685664494,1e-06,0.8528632903,1614.19,2006,1.18061,2009-03-19,NA,2007-03-16,NA,53.9359596352414
"49","ALVE",2007,NA,NA,712,7.8279060316489,65.9692400257618,1.9,0.8,72.3890784,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,23.520307831673,5.668069269744,5.668069269744,1e-07,31.958587211159,31.958587211159,1e-06,0.90803283064,1689.14,2006,1.18061,2009-03-19,NA,2007-03-16,NA,784.11261793053
"47","ALVE",2008,NA,NA,1636,7.8279060316489,65.9692400257618,1.9,0.8,97.2559728,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,36.083645010193,22.369903904929,22.369903904929,1e-07,37.625761564829,37.625761564829,1e-06,0.95725840904,1573.98,2006,1.18061,2009-03-19,NA,2007-03-16,NA,1709.04740512093
"53","ALVE",2009,0.25876,0.25876,674,7.8279060316489,65.9692400257618,1.9,0.8,61.6712648,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,30.096765204413,-35.816704965067,1e-07,35.816704965067,-7.778731790394,1e-06,7.778731790394,0.98334873526,1885,2006,1.18061,2009-03-19,NA,2007-03-16,NA,685.412993206111
"48","ALVE",2010,0.24373,0.50249,427,7.8279060316489,65.9692400257618,1.9,0.8,79.4955336,79.4955336,62.682844065261,98.499549030328,76.129645125399,70.461575855655,60.873787465499,44.17105791424,34.166890191161,30.330578469843,16.812689534739,16.812689534739,1e-07,3.36588847460101,3.36588847460101,1e-06,0.99972375346,2064.45,2006,1.18061,2009-03-19,NA,2007-03-16,NA,427.117989866872
